Popsize N/Lambda,mean_DE,std_DE,numEva_DE,mean_ES,std_ES,numEva_ES
32,0.02,0.01,1000032,0.18,0.09,1000001
64,0.01,0.01,1000064,0.17,0.08,1000001
128,0.0,0.0,1000064,0.2,0.11,1000065
256,0.01,0.01,1000192,0.25,0.11,1000193
512,0.16,0.02,1000448,0.23,0.11,1000449
1024,0.22,0.03,1000448,0.28,0.12,1000449
