Popsize N/Lambda,mean_DE,std_DE,numEva_DE,mean_ES,std_ES,numEva_ES
32,0.0,0.0,100032,13.81,9.04,100001
64,0.0,0.0,100032,15.49,7.76,100033
128,0.0,0.0,100096,13.8,9.04,100097
256,0.0,0.0,100096,7.93,9.71,100097
512,0.0,0.0,100352,1.99,5.97,100353
1024,0.0,0.0,100352,1.99,5.98,100353
