Popsize N/Lambda,mean_DE,std_DE,numEva_DE,mean_ES,std_ES,numEva_ES
32,0.0,0.0,100032,74.64,49.45,100001
64,0.0,0.0,100032,41.04,43.65,100033
128,0.0,0.0,100096,30.04,32.3,100097
256,0.0,0.0,100096,16.32,23.25,100097
512,0.0,0.0,100352,15.65,24.03,100353
1024,0.0,0.0,100352,0.0,0.0,100353
