Popsize N/Lambda,mean_DE,std_DE,numEva_DE,mean_ES,std_ES,numEva_ES
32,0.0,0.0,100032,0.0,0.0,100001
64,0.0,0.0,100032,0.0,0.0,100033
128,0.0,0.0,100096,0.0,0.0,100097
256,0.0,0.0,100096,0.0,0.0,100097
512,0.0,0.0,100352,0.0,0.0,100353
1024,0.0,0.0,100352,0.0,0.0,100353
