Popsize N/Lambda,mean_DE,std_DE,numEva_DE,mean_ES,std_ES,numEva_ES
32,0.0,0.0,1000032,0.4,1.2,1000001
64,0.0,0.0,1000064,0.0,0.0,1000001
128,0.0,0.0,1000064,0.4,1.2,1000065
256,0.0,0.0,1000192,0.92,1.86,1000193
512,0.0,0.0,1000448,1.37,2.11,1000449
1024,0.39,0.05,1000448,0.0,0.0,1000449
