Popsize N/Lambda,mean_DE,std_DE,numEva_DE,mean_ES,std_ES,numEva_ES
32,2.3,1.67,1000032,64.37,20.67,1000001
64,0.2,0.4,1000064,57.51,24.19,1000001
128,0.0,0.0,1000064,40.4,12.7,1000065
256,0.0,0.0,1000192,34.82,21.68,1000193
512,3.9,0.72,1000448,28.56,15.03,1000449
1024,9.92,1.25,1000448,30.84,19.78,1000449
