Algorithm,Problem_size,Mean_MRPS,Std_MRPS,Mean_Evaluations,Std_Evaluations
sGA-1X,10,108.8,27.06,3528.7,1581.66
sGA-1X,20,312.0,72.71,15948.7,8751.79
sGA-1X,40,800.0,125.58,71521.8,19004.0
sGA-1X,80,2828.8,711.41,338437.5,190286.25
sGA-1X,160,NaN,NaN,NaN,NaN
sGA-UX,10,451.2,102.65,25208.8,8987.0
sGA-UX,20,3968.0,1234.39,325092.0,222231.78
sGA-UX,40,NaN,NaN,NaN,NaN
sGA-UX,80,NaN,NaN,NaN,NaN
sGA-UX,160,NaN,NaN,NaN,NaN
